datum,Hlavní město Praha,Jihomoravský kraj,Jihočeský kraj,Karlovarský kraj,Kraj Vysočina,Královéhradecký kraj,Liberecký kraj,Moravskoslezský kraj,Olomoucký kraj,Pardubický kraj,Plzeňský kraj,Středočeský kraj,Zlínský kraj,Ústecký kraj
2020-12-27,1176,72,0,0,0,0,0,1,0,0,0,0,0,0
2020-12-28,1320,973,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-29,1348,1789,0,0,0,0,0,306,0,0,0,0,0,0
2020-12-30,1419,1546,0,0,0,0,0,485,0,0,0,0,0,17
2020-12-31,257,639,0,0,0,0,0,24,211,11,15,18,0,130
2021-01-01,0,30,0,0,24,0,0,0,79,0,37,0,1,89
2021-01-02,409,138,0,0,113,126,0,0,78,0,58,233,0,94
2021-01-03,354,86,0,0,120,174,0,0,61,0,39,0,0,79
2021-01-04,1175,61,290,175,208,70,81,652,254,54,78,125,256,85
2021-01-05,1140,77,390,282,155,74,156,872,296,93,193,268,339,157
2021-01-06,1684,132,658,251,369,68,253,790,196,174,276,446,365,151
2021-01-07,1823,691,1576,290,370,105,242,661,356,165,384,509,374,405
2021-01-08,2694,778,1664,242,306,659,150,415,548,260,313,1166,327,403
2021-01-09,642,55,6,0,31,285,0,12,145,85,296,193,99,159
2021-01-10,697,68,0,0,30,319,0,0,132,0,211,64,103,96
2021-01-11,2578,1360,243,121,563,334,343,1026,834,234,749,719,431,243
2021-01-12,2940,2456,1053,175,324,801,400,1079,770,277,844,1324,419,486
2021-01-13,2985,2112,1202,243,349,742,373,1262,793,348,844,1180,649,384
2021-01-14,3175,2244,1559,247,630,821,507,2048,862,367,578,1099,594,429
2021-01-15,3597,1909,1354,257,208,801,496,1329,660,391,902,1042,608,360
2021-01-16,1704,50,72,72,0,464,0,328,174,0,249,0,152,108
2021-01-17,1888,67,0,0,0,363,1,301,296,0,59,0,149,100
2021-01-18,4452,1808,870,119,390,471,381,1045,1136,503,648,1298,518,537
2021-01-19,4333,2453,544,167,617,524,527,2095,937,349,815,987,216,567
2021-01-20,3995,2820,139,351,505,664,680,3116,858,527,580,1119,135,662
2021-01-21,3736,2330,1070,144,275,843,911,2766,789,381,903,1197,940,947
2021-01-22,3139,1494,1085,285,600,636,779,1976,1134,577,635,1477,1101,840
2021-01-23,1035,12,269,38,90,394,30,365,364,1,275,240,61,955
2021-01-24,1243,126,0,0,143,364,0,280,194,0,374,0,66,310
2021-01-25,3014,1029,651,221,358,659,281,1263,1167,771,760,905,1045,411
2021-01-26,2797,1137,774,343,727,915,319,1760,1168,866,874,1333,1076,343
2021-01-27,2920,1353,540,418,898,497,353,1497,1075,646,656,1274,1044,281
2021-01-28,2534,1873,1387,359,719,505,356,1333,538,678,588,869,812,553
2021-01-29,2986,1409,1299,569,714,796,338,1254,743,695,264,1728,551,610
2021-01-30,907,74,7,0,0,402,0,42,76,24,0,113,0,151
2021-01-31,966,50,0,0,60,323,0,22,162,0,0,148,0,107
2021-02-01,3200,1515,235,288,659,450,447,1372,890,650,216,922,487,461
2021-02-02,3157,2441,537,333,742,606,597,1419,743,697,323,1357,605,708
2021-02-03,3505,2216,1463,489,794,665,494,1167,922,599,395,1186,797,626
2021-02-04,3342,2795,1652,461,875,851,621,1867,1153,709,427,1640,848,519
2021-02-05,2972,2194,1537,431,531,869,777,1433,1005,669,344,1676,1054,521
2021-02-06,1740,51,72,60,0,466,0,14,315,0,198,132,0,114
2021-02-07,1740,52,1,66,0,458,0,216,324,0,119,77,163,95
2021-02-08,3699,1469,402,369,599,513,511,1224,1204,979,1157,1936,841,418
2021-02-09,4181,1413,787,419,912,721,797,1556,1118,718,803,1932,639,866
2021-02-10,4576,1857,738,604,1215,728,759,2036,1035,939,793,1771,705,829
2021-02-11,4873,1928,1294,339,753,1000,1102,3638,1087,991,1083,2163,1193,858
2021-02-12,4361,1552,1518,621,680,1050,908,2669,912,1072,1166,2452,1100,1217
2021-02-13,970,199,271,37,0,552,30,740,264,12,419,365,60,601
2021-02-14,576,96,0,62,0,279,0,366,230,0,256,227,66,195
2021-02-15,3181,1836,1251,296,581,686,503,1086,1022,676,1232,1936,703,668
2021-02-16,2675,2346,649,407,861,952,608,1645,1043,541,1622,2179,920,1084
2021-02-17,2852,2084,196,426,979,960,451,2643,902,736,1052,2337,912,1250
2021-02-18,2994,2411,2279,287,920,1043,387,2692,602,804,1021,2286,1142,1321
2021-02-19,3264,1205,1920,684,852,1065,409,1760,1001,927,929,2573,1239,1090
2021-02-20,854,0,170,77,0,653,60,84,237,163,52,515,80,129
2021-02-21,781,47,0,51,0,564,0,27,217,0,109,98,60,66
2021-02-22,2548,1866,711,531,722,948,656,918,995,954,1297,2103,1016,751
2021-02-23,3123,2210,511,472,1328,1151,792,1387,1263,1074,1479,2381,1199,1297
2021-02-24,3209,2452,530,727,961,1057,892,1423,1294,983,1471,2359,1015,1350
2021-02-25,2854,2620,3332,501,1317,1267,1068,1592,971,936,1778,2167,1379,1545
2021-02-26,3556,2031,1842,592,876,1051,1122,1966,960,811,1579,2256,1098,1502
2021-02-27,953,48,4,180,60,760,431,15,124,0,94,583,63,159
2021-02-28,788,187,21,116,60,584,468,71,42,0,104,144,84,194
2021-03-01,3548,2754,607,732,739,1051,1513,1661,1122,918,1322,4045,1340,1330
2021-03-02,4573,3357,2295,978,1117,1703,1510,3151,1459,1146,1586,4522,1275,1529
2021-03-03,5765,3836,1824,1270,1433,1942,1593,3373,1653,1671,2121,4461,1754,2056
2021-03-04,4767,4394,3549,1450,1741,1788,1817,3111,2074,1965,1991,4670,1933,1947
2021-03-05,3781,3368,2497,1513,1026,1639,1759,3882,1917,1609,1949,4902,1549,2332
2021-03-06,1484,455,0,417,776,832,609,2616,460,104,218,1015,222,3554
2021-03-07,1041,378,1,387,795,714,492,1897,434,67,204,895,185,4645
2021-03-08,3377,4057,911,1923,2035,1358,1792,4755,1835,1784,2115,4855,1491,1885
2021-03-09,5311,5056,2405,2469,2265,1627,1633,5368,2345,1863,2718,5306,1569,2153
2021-03-10,5963,5363,3960,2474,2549,1699,1698,5641,2928,2123,2615,6252,1897,2471
2021-03-11,6169,6466,5628,2448,2487,1783,2004,5438,3212,1998,2576,6844,1978,3534
2021-03-12,6136,3667,3948,1899,2990,2005,1377,5081,2756,2361,2977,6575,1513,3302
2021-03-13,2877,1717,368,172,2283,1687,228,2007,758,346,631,2153,411,2532
2021-03-14,2367,1554,10,418,1608,1600,148,1163,414,49,240,1074,332,2140
2021-03-15,5692,5068,1424,1823,1870,1848,1415,3821,2206,1360,1275,5232,1396,2089
2021-03-16,7265,7253,2661,2087,2962,2319,1592,5716,2759,2370,2266,5111,2044,2335
2021-03-17,7318,7563,2497,2261,2189,2415,1477,4863,3016,2021,2462,4524,2395,2410
2021-03-18,7315,8369,3292,1595,3011,2259,1580,4986,2774,2475,2311,4191,2681,2667
