date,total_registrations
2021-01-15,79814
2021-01-16,16158
2021-01-17,12618
2021-01-18,16224
2021-01-19,10152
2021-01-20,7097
2021-01-21,5092
2021-01-22,4984
2021-01-23,2525
2021-01-24,2843
2021-01-25,4392
2021-01-26,9930
2021-01-27,6500
2021-01-28,3305
2021-01-29,2247
2021-01-30,987
2021-01-31,1039
2021-02-01,2310
2021-02-02,2045
2021-02-03,1942
2021-02-04,1630
2021-02-05,1453
2021-02-06,833
2021-02-07,844
2021-02-08,1855
2021-02-09,1523
2021-02-10,1390
2021-02-11,1197
2021-02-12,1225
2021-02-13,611
2021-02-14,636
2021-02-15,1934
2021-02-16,2239
2021-02-17,2102
2021-02-18,2496
2021-02-19,2312
2021-02-20,1211
2021-02-21,1149
2021-02-22,3239
2021-02-23,3702
2021-02-24,3546
2021-02-25,3552
2021-02-26,3530
2021-02-27,102018
2021-02-28,18169
2021-03-01,215158
