date,total_registrations
2021-01-15,87023
2021-01-16,17304
2021-01-17,13208
2021-01-18,17010
2021-01-19,10731
2021-01-20,7097
2021-01-21,5058
2021-01-22,4784
2021-01-23,2540
2021-01-24,2780
2021-01-25,4231
2021-01-26,10121
2021-01-27,6565
2021-01-28,3230
2021-01-29,2166
2021-01-30,988
2021-01-31,1018
2021-02-01,2202
2021-02-02,1973
2021-02-03,1826
2021-02-04,1535
2021-02-05,1309
2021-02-06,753
2021-02-07,767
2021-02-08,1570
2021-02-09,1285
2021-02-10,1202
2021-02-11,1046
2021-02-12,1028
2021-02-13,546
2021-02-14,531
2021-02-15,1599
2021-02-16,1874
2021-02-17,1819
2021-02-18,2168
2021-02-19,1920
2021-02-20,994
2021-02-21,975
2021-02-22,2584
2021-02-23,3048
2021-02-24,2853
2021-02-25,2912
2021-02-26,2839
2021-02-27,81439
2021-02-28,13965
2021-03-01,178638
2021-03-02,43606
2021-03-03,26940
2021-03-04,22885
2021-03-05,18978
2021-03-06,8180
2021-03-07,8421
2021-03-08,19445
2021-03-09,17274
2021-03-10,16651
2021-03-11,14963
2021-03-12,12412
2021-03-13,6764
2021-03-14,7203
2021-03-15,15939
2021-03-16,14595
2021-03-17,14081
2021-03-18,12190
2021-03-19,10624
2021-03-20,4958
2021-03-21,4711
2021-03-22,11263
2021-03-23,13640
2021-03-24,38416
2021-03-25,29457
2021-03-26,25735
2021-03-27,11682
2021-03-28,12093
2021-03-29,19253
2021-03-30,15989
2021-03-31,14187
2021-04-01,11247
2021-04-02,5045
2021-04-03,3753
2021-04-04,3249
2021-04-05,3711
2021-04-06,13281
2021-04-07,15285
2021-04-08,12727
2021-04-09,10224
2021-04-10,4069
2021-04-11,4047
2021-04-12,12682
2021-04-13,12557
2021-04-14,132859
2021-04-15,33309
2021-04-16,21141
2021-04-17,10457
2021-04-18,9852
2021-04-19,20131
2021-04-20,19081
2021-04-21,16937
2021-04-22,14752
2021-04-23,107686
2021-04-24,20964
2021-04-25,21200
2021-04-26,36884
2021-04-27,34847
2021-04-28,137904
2021-04-29,48660
2021-04-30,33586
2021-05-01,16598
2021-05-02,22119
2021-05-03,44741
2021-05-04,31936
2021-05-05,157830
2021-05-06,47052
2021-05-07,32172
2021-05-08,14999
2021-05-09,18273
2021-05-10,40437
2021-05-11,195707
2021-05-12,57049
2021-05-13,42686
2021-05-14,26863
2021-05-15,13442
2021-05-16,26156
2021-05-17,199463
2021-05-18,48791
2021-05-19,35630
2021-05-20,28400
2021-05-21,25079
2021-05-22,14750
2021-05-23,32471
2021-05-24,142743
2021-05-25,48820
2021-05-26,126209
2021-05-27,40950
2021-05-28,29796
2021-05-29,16351
2021-05-30,24005
2021-05-31,32878
2021-06-01,25736
2021-06-02,20750
2021-06-03,49958
2021-06-04,190777
2021-06-05,32985
2021-06-06,33636
2021-06-07,44019
2021-06-08,32308
2021-06-09,27300
2021-06-10,21701
2021-06-11,22959
2021-06-12,11574
2021-06-13,17347
2021-06-14,21445
2021-06-15,17740
2021-06-16,16338
2021-06-17,13778
2021-06-18,10182
2021-06-19,6487
2021-06-20,10877
2021-06-21,15372
2021-06-22,13468
2021-06-23,11814
2021-06-24,12137
2021-06-25,9440
2021-06-26,6086
2021-06-27,8943
2021-06-28,13876
2021-06-29,13201
2021-06-30,18725
2021-07-01,30590
2021-07-02,1512
2021-07-03,844
2021-07-04,863
2021-07-05,866
2021-07-06,922
2021-07-07,1368
2021-07-08,1572
2021-07-09,1513
2021-07-10,895
2021-07-11,1089
2021-07-12,1967
2021-07-13,1993
2021-07-14,2302
2021-07-15,2620
2021-07-16,1991
2021-07-17,1562
2021-07-18,2227
2021-07-19,4489
2021-07-20,4523
2021-07-21,4898
2021-07-22,4756
2021-07-23,6702
2021-07-24,4660
2021-07-25,8613
2021-07-26,15519
2021-07-27,10096
