datum,Hlavní město Praha,Jihomoravský kraj,Jihočeský kraj,Karlovarský kraj,Kraj Vysočina,Královéhradecký kraj,Liberecký kraj,Moravskoslezský kraj,Olomoucký kraj,Pardubický kraj,Plzeňský kraj,Středočeský kraj,Zlínský kraj,Ústecký kraj
2021-01-15,11801,6541,3559,1213,2929,3772,2110,5363,3070,3054,3044,6591,3437,3102
2021-01-16,2541,1405,675,325,587,790,467,1455,812,600,669,1446,782,722
2021-01-17,1781,1032,570,258,516,584,362,1186,736,531,508,1201,636,662
2021-01-18,2239,1435,827,373,776,828,483,1531,839,638,720,1648,758,993
2021-01-19,1410,1058,567,221,407,649,283,960,512,421,542,935,474,559
2021-01-20,894,655,508,140,276,398,173,725,404,287,401,623,282,405
2021-01-21,625,501,368,93,206,273,157,467,281,240,299,463,205,269
2021-01-22,466,557,303,96,296,198,145,372,263,232,295,475,197,212
2021-01-23,261,210,153,47,128,157,65,187,148,130,162,268,92,99
2021-01-24,257,258,166,48,148,119,75,209,179,183,150,295,138,149
2021-01-25,395,504,253,87,193,147,181,346,288,225,266,375,192,180
2021-01-26,1423,904,663,134,503,346,260,813,531,278,469,596,240,351
2021-01-27,827,648,442,113,273,211,246,657,322,255,340,388,169,237
2021-01-28,425,301,192,59,142,117,118,319,198,169,218,209,97,131
2021-01-29,284,211,126,46,132,70,104,215,114,98,104,130,57,124
2021-01-30,141,89,45,15,63,47,28,80,42,55,52,70,36,36
2021-01-31,115,92,50,21,62,60,33,96,68,72,39,76,37,22
2021-02-01,301,235,102,33,97,81,161,218,138,107,112,163,68,89
2021-02-02,294,233,96,31,89,65,123,143,105,104,91,156,71,74
2021-02-03,230,187,81,21,83,68,148,154,109,95,96,164,65,74
2021-02-04,173,165,114,29,76,57,105,106,86,75,71,162,62,65
2021-02-05,225,168,78,28,53,57,68,81,61,65,49,148,44,49
2021-02-06,103,89,44,35,43,34,24,61,46,39,38,88,21,35
2021-02-07,109,79,40,25,44,36,17,56,44,45,38,80,35,39
2021-02-08,213,205,81,77,62,72,90,118,92,92,74,184,51,68
2021-02-09,188,169,79,71,64,62,33,93,78,72,64,201,32,45
2021-02-10,163,128,63,46,49,50,57,92,80,89,43,180,36,41
2021-02-11,141,118,61,72,41,52,45,75,64,46,53,150,30,47
2021-02-12,137,216,74,55,52,29,26,72,52,45,49,131,28,24
2021-02-13,67,77,36,41,18,33,24,24,30,31,21,68,13,19
2021-02-14,70,71,42,24,33,23,9,34,28,33,28,71,11,20
2021-02-15,205,342,122,55,79,55,52,110,73,81,110,172,41,72
2021-02-16,250,299,225,64,68,103,35,136,88,79,132,200,64,84
2021-02-17,240,270,168,67,79,63,65,162,105,60,117,204,46,87
2021-02-18,348,251,134,80,108,82,75,150,200,78,136,247,53,117
2021-02-19,340,258,152,57,82,79,58,110,222,71,126,188,47,83
2021-02-20,235,125,44,25,44,34,19,56,122,35,72,84,27,42
2021-02-21,131,158,76,22,45,51,37,44,108,33,65,97,26,49
2021-02-22,449,412,189,79,89,102,158,193,174,116,180,250,61,151
2021-02-23,546,439,196,104,107,103,224,227,165,108,230,268,76,201
2021-02-24,610,344,146,89,84,108,192,230,168,107,203,259,70,212
2021-02-25,582,344,182,67,104,110,152,239,140,117,268,266,78,168
